seed,iteration,destroy_operator,repair_operator,candidate_feasible,candidate_objective,incumbent_objective,best_objective,accepted,improved_best
0,1,global_restart,spread,True,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
0,2,high_risk_cluster_k3,bounded_exact,True,-14.71691992218308,-14.71691992218308,-14.71691992218308,True,True
0,3,high_risk_cluster_k3,bounded_exact,True,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,4,congestion_cluster_k3,bounded_exact,True,-14.60507971560603,-14.60507971560603,-14.60507971560603,True,True
0,5,high_risk_cluster_k3,bounded_exact,True,-15.072771672771673,-14.60507971560603,-14.60507971560603,False,False
0,6,global_restart,bounded_exact,True,-14.755427905427904,-14.60507971560603,-14.60507971560603,False,False
0,7,high_risk_cluster_k3,best_of_top,True,-15.072771672771673,-14.60507971560603,-14.60507971560603,False,False
0,8,congestion_cluster_k3,bounded_exact,True,-14.60507971560603,-14.60507971560603,-14.60507971560603,False,False
0,9,global_restart,spread,True,-14.755427905427904,-14.60507971560603,-14.60507971560603,False,False
0,10,congestion_cluster_k3,spread,True,-14.95804546330862,-14.60507971560603,-14.60507971560603,False,False
0,11,high_risk_cluster_k3,bounded_exact,True,-15.072771672771673,-14.60507971560603,-14.60507971560603,False,False
0,12,global_restart,bounded_exact,True,-14.755427905427904,-14.60507971560603,-14.60507971560603,False,False
0,13,high_risk_cluster_k3,sampled_greedy,False,-14.60507971560603,-14.60507971560603,-14.60507971560603,False,False
0,14,congestion_cluster_k3,spread,True,-14.95804546330862,-14.60507971560603,-14.60507971560603,False,False
0,15,global_restart,bounded_exact,True,-14.755427905427904,-14.60507971560603,-14.60507971560603,False,False
0,16,congestion_cluster_k3,bounded_exact,True,-14.60507971560603,-14.60507971560603,-14.60507971560603,False,False
0,17,congestion_cluster_k3,bounded_exact,True,-14.60507971560603,-14.60507971560603,-14.60507971560603,False,False
0,18,high_risk_cluster,best_of_top,True,-14.590990296253453,-14.590990296253453,-14.590990296253453,True,True
0,19,congestion_cluster,best_of_top,True,-14.509035409035409,-14.509035409035409,-14.509035409035409,True,True
0,20,high_risk_cluster_k3,sampled_greedy,False,-14.509035409035409,-14.509035409035409,-14.509035409035409,False,False
1,1,high_risk_cluster,spread,True,-14.755427905427906,-14.755427905427904,-14.755427905427904,False,False
1,2,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,True,True
1,3,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,4,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
1,5,high_risk_cluster,sampled_greedy,True,-14.637266242529401,-14.424431124431123,-14.424431124431123,False,False
1,6,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
1,7,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,8,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,9,high_risk_cluster,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,10,high_risk_cluster,best_of_top,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,11,high_risk_cluster,spread,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,12,congestion_cluster_k3,spread,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
1,13,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,14,congestion_cluster_k3,spread,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
1,15,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,16,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
1,17,global_restart,spread,True,-14.755427905427904,-14.424431124431123,-14.424431124431123,False,False
1,18,high_risk_cluster_k3,spread,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,19,global_restart,sampled_greedy,False,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
1,20,congestion_cluster_k3,spread,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
2,1,global_restart,spread,True,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,2,high_risk_cluster,sampled_greedy,True,-14.764546564546565,-14.755427905427904,-14.755427905427904,False,False
2,3,congestion_cluster,sampled_greedy,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,4,high_risk_cluster_k3,sampled_greedy,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,5,congestion_cluster,best_of_top,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,6,global_restart,spread,True,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,7,high_risk_cluster_k3,bounded_exact,True,-14.71691992218308,-14.71691992218308,-14.71691992218308,True,True
2,8,congestion_cluster,sampled_greedy,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
2,9,high_risk_cluster_k3,spread,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
2,10,global_restart,bounded_exact,True,-14.755427905427904,-14.71691992218308,-14.71691992218308,False,False
2,11,global_restart,bounded_exact,True,-14.755427905427904,-14.71691992218308,-14.71691992218308,False,False
2,12,congestion_cluster,bounded_exact,True,-14.658254318780635,-14.658254318780635,-14.658254318780635,True,True
2,13,congestion_cluster,bounded_exact,True,-14.658254318780635,-14.658254318780635,-14.658254318780635,False,False
2,14,high_risk_cluster_k3,bounded_exact,True,-14.574928580191742,-14.574928580191742,-14.574928580191742,True,True
2,15,high_risk_cluster_k3,bounded_exact,True,-14.574928580191742,-14.574928580191742,-14.574928580191742,False,False
2,16,global_restart,bounded_exact,True,-14.755427905427904,-14.574928580191742,-14.574928580191742,False,False
2,17,high_risk_cluster_k3,bounded_exact,True,-14.574928580191742,-14.574928580191742,-14.574928580191742,False,False
2,18,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,True,True
2,19,high_risk_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
2,20,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
3,1,congestion_cluster,best_of_top,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
3,2,congestion_cluster,best_of_top,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
3,3,congestion_cluster_k3,sampled_greedy,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
3,4,congestion_cluster,sampled_greedy,True,-14.764546564546562,-14.755427905427904,-14.755427905427904,False,False
3,5,high_risk_cluster_k3,best_of_top,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
3,6,high_risk_cluster_k3,spread,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
3,7,congestion_cluster,sampled_greedy,True,-14.764546564546562,-14.755427905427904,-14.755427905427904,False,False
3,8,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,True,True
3,9,high_risk_cluster,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
3,10,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,True,True
3,11,high_risk_cluster,best_of_top,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
3,12,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
3,13,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
3,14,global_restart,bounded_exact,True,-14.755427905427904,-14.424431124431123,-14.424431124431123,False,False
3,15,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
3,16,global_restart,spread,True,-14.755427905427904,-14.424431124431123,-14.424431124431123,False,False
3,17,high_risk_cluster,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
3,18,high_risk_cluster_k3,spread,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
3,19,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.424431124431123,-14.424431124431123,False,False
3,20,high_risk_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
4,1,congestion_cluster,sampled_greedy,True,-14.857632889985831,-14.755427905427904,-14.755427905427904,False,False
4,2,high_risk_cluster,sampled_greedy,True,-15.026234876234877,-14.755427905427904,-14.755427905427904,False,False
4,3,global_restart,spread,True,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
4,4,congestion_cluster,best_of_top,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
4,5,congestion_cluster,sampled_greedy,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
4,6,congestion_cluster,spread,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
4,7,high_risk_cluster,best_of_top,True,-14.755427905427906,-14.755427905427904,-14.755427905427904,False,False
4,8,congestion_cluster,bounded_exact,True,-14.57492858019174,-14.57492858019174,-14.57492858019174,True,True
4,9,congestion_cluster,bounded_exact,True,-14.57492858019174,-14.57492858019174,-14.57492858019174,False,False
4,10,global_restart,spread,True,-14.755427905427904,-14.57492858019174,-14.57492858019174,False,False
4,11,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,True,True
4,12,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
4,13,congestion_cluster,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
4,14,congestion_cluster,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
4,15,global_restart,best_of_top,True,-14.755427905427904,-14.424431124431123,-14.424431124431123,False,False
4,16,global_restart,best_of_top,True,-14.755427905427904,-14.424431124431123,-14.424431124431123,False,False
4,17,high_risk_cluster,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
4,18,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
4,19,congestion_cluster_k3,bounded_exact,True,-14.424431124431123,-14.424431124431123,-14.424431124431123,False,False
