seed,iteration,destroy_operator,repair_operator,candidate_feasible,candidate_objective,incumbent_objective,best_objective,accepted,improved_best
0,1,global_restart,spread,True,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
0,2,high_risk_cluster_k3,sampled_greedy,True,-14.71691992218308,-14.71691992218308,-14.71691992218308,True,True
0,3,high_risk_cluster_k3,sampled_greedy,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,4,congestion_cluster_k3,sampled_greedy,True,-14.83450952212562,-14.71691992218308,-14.71691992218308,False,False
0,5,high_risk_cluster_k3,best_of_top,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,6,global_restart,sampled_greedy,True,-15.171117358733458,-14.71691992218308,-14.71691992218308,False,False
0,7,congestion_cluster,best_of_top,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,8,high_risk_cluster_k3,sampled_greedy,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,9,global_restart,spread,True,-14.755427905427904,-14.71691992218308,-14.71691992218308,False,False
0,10,congestion_cluster_k3,spread,True,-14.95804546330862,-14.71691992218308,-14.71691992218308,False,False
0,11,congestion_cluster,best_of_top,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,12,global_restart,best_of_top,True,-14.755427905427904,-14.71691992218308,-14.71691992218308,False,False
0,13,high_risk_cluster_k3,sampled_greedy,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,14,high_risk_cluster_k3,best_of_top,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,15,global_restart,spread,True,-14.755427905427904,-14.71691992218308,-14.71691992218308,False,False
0,16,high_risk_cluster_k3,spread,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,17,congestion_cluster,spread,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,18,high_risk_cluster_k3,sampled_greedy,False,-14.71691992218308,-14.71691992218308,-14.71691992218308,False,False
0,19,congestion_cluster_k3,sampled_greedy,True,-14.83450952212562,-14.71691992218308,-14.71691992218308,False,False
0,20,congestion_cluster_k3,best_of_top,True,-14.892416647679804,-14.71691992218308,-14.71691992218308,False,False
1,1,high_risk_cluster,spread,True,-14.755427905427906,-14.755427905427904,-14.755427905427904,False,False
1,2,congestion_cluster_k3,sampled_greedy,True,-14.574928580191736,-14.574928580191736,-14.574928580191736,True,True
1,3,congestion_cluster_k3,sampled_greedy,True,-14.764546564546565,-14.574928580191736,-14.574928580191736,False,False
1,4,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,True,True
1,5,high_risk_cluster,sampled_greedy,True,-14.665223665223666,-14.465456765456766,-14.465456765456766,False,False
1,6,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,7,congestion_cluster_k3,sampled_greedy,True,-14.574928580191736,-14.465456765456766,-14.465456765456766,False,False
1,8,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,9,congestion_cluster,spread,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,10,global_restart,sampled_greedy,True,-15.023677956030898,-14.465456765456766,-14.465456765456766,False,False
1,11,high_risk_cluster,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,12,global_restart,sampled_greedy,False,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,13,congestion_cluster,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,14,high_risk_cluster,sampled_greedy,True,-14.743443398706557,-14.465456765456766,-14.465456765456766,False,False
1,15,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,16,high_risk_cluster_k3,sampled_greedy,True,-14.678291883555044,-14.465456765456766,-14.465456765456766,False,False
1,17,congestion_cluster,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,18,high_risk_cluster_k3,sampled_greedy,True,-14.911817422343738,-14.465456765456766,-14.465456765456766,False,False
1,19,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
1,20,congestion_cluster_k3,sampled_greedy,False,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
2,1,global_restart,spread,True,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,2,high_risk_cluster,sampled_greedy,True,-15.026234876234877,-14.755427905427904,-14.755427905427904,False,False
2,3,global_restart,spread,True,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,4,congestion_cluster_k3,sampled_greedy,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,5,high_risk_cluster_k3,best_of_top,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,6,high_risk_cluster_k3,sampled_greedy,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,7,high_risk_cluster_k3,best_of_top,False,-14.755427905427904,-14.755427905427904,-14.755427905427904,False,False
2,8,congestion_cluster_k3,spread,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,True,True
2,9,global_restart,spread,True,-14.755427905427904,-14.465456765456766,-14.465456765456766,False,False
2,10,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
2,11,high_risk_cluster,sampled_greedy,True,-14.665223665223666,-14.465456765456766,-14.465456765456766,False,False
2,12,congestion_cluster_k3,best_of_top,True,-14.465456765456766,-14.465456765456766,-14.465456765456766,False,False
