seed,constructive_objective,search_objective,delta,search_feasible
0,-14.755427905427904,-14.71691992218308,0.03850798324482341,True
1,-14.755427905427904,-14.465456765456766,0.2899711399711382,True
2,-14.755427905427904,-14.465456765456766,0.2899711399711382,True
3,-14.755427905427904,-14.424431124431123,0.33099678099678087,True
4,-14.755427905427904,-14.465456765456766,0.2899711399711382,True
5,-14.755427905427904,-14.465456765456766,0.2899711399711382,True
