variant,search_mean,search_best,improved_runs,runtime_seconds
constructive_baseline,-14.755427905427903,-14.755427905427903,0,
heuristic_only_repairs,-14.50052968474021,-14.424431124431123,6,0.14193310006521642
bounded_exact_repairs,-14.438531838531837,-14.424431124431123,6,0.3086263998411596
